tit;qt_pixels_contorno;perimetro;qt_pixels_hull;area_ret_circuns;quem;quem2
j32;24056;1186.75;34346.5;50274;0;0
j36;24904;1331.18;37818;54236;0;0
j35;28236;1295.38;40381;59210;0;0
j34;19639;1444.92;32842;51972;0;0
j33;22033;1128.47;33374;48896;0;0
g9;11302;1033.4;22510.5;35700;0;1
g8;12255;1127.63;26404;41919;0;1
g7;13692;979.661;25508.5;39765;0;1
g6;12842;947.235;24964;40328;0;1
g10;11749.5;971.561;22643.5;35670;0;1
i9;6247.5;433.404;8311.5;10956;1;0
i8;6511;445.647;8754;11100;1;0
i7;7133;443.647;9440;11868;1;0
i6;7167.5;449.889;9283;12496;1;0
i10;5891.5;412.09;7538.5;10480;1;0
m9;6905;569.103;8896.5;11537;1;1
m8;6828;499.304;8147.5;10074;1;1
m7;5985.5;438.919;7184;9398;1;1
m6;5038.5;397.12;6368;8584;1;1
m10;6082;404.392;7317;10004;1;1


